display_name,short_name,level,hex_color,r_color,g_color,b_color
Deep Sky Blue,deep-sky-blue,3,49B5F6,73,181,246
Blueberry,blueberry,3,6289FF,98,137,255
Azure,azure,3,069AF3,6,154,243
Blue,blue,3,285EFF,40,94,255
Aqua,aqua,3,13EAC9,19,234,201
Royal Blue,royal-blue,3,3A2EFE,58,46,254
Pale Green,pale-green,3,8AA375,138,163,117
Azure White,azure-white,3,DEEBF2,222,235,242
Light Steel Blue,light-steel-blue,3,ABBCD1,171,188,209
Bluish Gray,bluish-gray,3,738595,115,133,149
Cadet Blue,cadet-blue,3,4E6E8E,78,110,142
Charcoal Blue,charcoal-blue,3,2D445E,45,68,94
Medium Blue,medium-blue,3,2C6FBB,44,111,187
Sapphire,sapphire,3,2138AB,33,56,171
Cobalt,cobalt,3,1E488F,30,72,143
Dark Blue,dark-blue,3,000080,0,0,128
Gold,gold,3,D4AF37,212,175,55
Beige,beige,3,F5F5DC,245,245,220
Light Brown,light-brown,3,ad8150,173,129,80
Tuscan,tuscan,3,E6DAA6,230,218,166
Bronze,bronze,3,cd7f32,205,127,50
Windsor Tan,windsor-tan,3,A55E06,165,94,6
Dark Goldenrod,dark-goldenrod,3,C68211,198,130,17
Brown,brown,3,653700,101,55,0
Golden Brown,golden-brown,3,96610C,150,97,12
Dark Brown,dark-brown,3,4C2801,76,40,1
Sepia,sepia,3,6B4608,107,70,8
Ecru,ecru,3,F3EFE0,243,239,224
Tan,tan,3,D2B48C,210,180,140
Ivory,ivory,3,FFFFF0,255,255,240
Floral White,floral-white,3,FFFAF0,255,250,240
Snow,snow,3,FFFAFA,255,250,250
Ghost White,ghost-white,3,F8F8FF,248,248,255
Linen,linen,3,FAF0E6,250,240,230
Light Gray,light-gray,3,D8D8D8,216,216,216
Pastel Blue,pastel-blue,3,ABBCD1,171,188,209
Gray,gray,3,959595,149,149,149
Ash,ash,3,B2BEB5,178,190,181
Pastel Gray,pastel-gray,3,D1D7AF,209,215,175
Sonic Silver,sonic-silver,3,757575,117,117,117
Slate Gray,slate-gray,3,59656D,89,101,109
Dark Gray,dark-gray,3,606060,96,96,96
Chrome,chrome,3,E3DEDB,227,222,219
White,white,3,FFFFFF,255,255,255
Black,black,3,000000,0,0,0
Lavender,lavender,3,DCD0FF,220,208,255
Carmine,carmine,3,FF0038,255,0,56
Lime Yellow,lime-yellow,3,D0FE1D,208,254,29
Latte,latte,3,DBC4AB,219,196,171
Khaki,khaki,3,C3B091,195,176,145
Tuscan Brown,tuscan-brown,3,6F5242,111,82,66
Rose Gold,rose-gold,3,C58E80,197,142,128
Silver,silver,3,cccccc,204,204,204
Holographic,holographic,3,ced9ed,206,217,237
Copper,copper,3,B87333,184,115,51
Bronze,bronze,3,CD7F32,205,127,50
Shocking Pink,shocking-pink,3,FE02A2,254,2,162
Lilac,lilac,3,ECD6EF,236,214,239
Pink Lace,pink-lace,3,F5D6EB,245,214,235
Tropical Violet,tropical-violet,3,C4A6DE,196,166,222
Mauve,mauve,3,C58ACC,197,138,204
Lavender Pink,lavender-pink,3,EDB5DB,237,181,219
Slate Blue,slate-blue,3,7355FF,115,85,255
Amethyst,amethyst,3,9461C9,148,97,201
Plum,plum,3,AB45BF,171,69,191
Blush Pink,blush-pink,3,E480C7,228,128,199
Electric Indigo,electric-indigo,3,6500FF,101,0,255
Violet,violet,3,7329B0,115,41,176
Purple,purple,3,800080,128,0,128
Fuchsia,fuchsia,3,E0119D,224,17,157
Indigo,indigo,3,521C78,82,28,120
Dark Slate Blue,dark-slate-blue,3,4A00BA,74,0,186
Mulberry Purple,mulberry-purple,3,5A005A,90,0,90
Magenta,magenta,3,C7007D,199,0,125
Pixie Powder,pixie-powder,3,38008C,56,0,140
Dark Violet,dark-violet,3,3B0B5B,59,11,91
Dark Magenta,dark-magenta,3,A60066,166,0,102
Light Pink,light-pink,3,ffcfdc,255,207,220
Nude,nude,3,F4D5BB,244,213,187
Rose Pink,rose-pink,3,FCB0BA,252,176,186
Apricot,apricot,3,FCBBAE,252,187,174
Pink,pink,3,ff81c0,255,129,192
Salmon Pink,salmon-pink,3,FC8F8F,252,143,143
Pink,pink,3,ff81c0,255,129,192
Pastel Red,pastel-red,3,F45862,244,88,98
Deep Pink,deep-pink,3,CC035C,204,3,92
Raspberry,raspberry,3,A8084D,168,8,77
Light Coral,light-coral,3,FF9999,255,153,153
Light Salmon 1,light-salmon-1,3,FEA993,254,169,147
Light Red,light-red,3,F4757B,244,117,123
Coral,coral,3,FF7770,255,119,112
Pink Orange,pink-orange,3,FF8C69,255,140,105
Desire Red,desire-red,3,FA6378,250,99,120
Pale Lavender,pale-lavender,3,EAE3ED,234,227,237
Lavender Gray,lavender-gray,3,D4C7D8,212,199,216
Pastel Purple,pastel-purple,3,B59DB5,181,157,181
Dark Lavender,dark-lavender,3,A075A0,160,117,160
Dark Lilac,dark-lilac,3,896089,137,96,137
Chinese Violet,chinese-violet,3,724072,114,64,114
Light Dusty Pink,light-dusty-pink,3,EDD3D0,237,211,208
Dusty Pink,dusty-pink,3,DBAEAD,219,174,173
Pastel Pink,pastel-pink,3,D19A9A,209,154,154
Powder Pink,powder-pink,3,B78084,183,128,132
Dark Salmon,dark-salmon,3,E8A08B,232,160,139
Scarlet Red,scarlet-red,3,F54029,245,64,41
Tomato,tomato,3,EF4026,239,64,38
Crimson,crimson,3,E34234,227,66,52
Red,red,3,e50000,229,0,0
Flame Red,flame-red,3,D14212,209,66,18
Vermilion,vermilion,3,DC143C,220,20,60
Cardinal Red,cardinal-red,3,B01C2E,176,28,46
Maroon,maroon,3,800000,128,0,0
Orange Red,orange-red,3,BD3E07,189,62,7
Dark Red,dark-red,3,840000,132,0,0
Burgundy,burgundy,3,610023,97,0,35
Light Salmon,light-salmon,3,FEA993,254,169,147
Peach,peach,3,FDE6BA,253,230,186
Salmon,salmon,3,FF8C69,255,140,105
Light Orange,light-orange,3,FFB07C,255,176,124
Pastel Orange,pastel-orange,3,FFB973,255,185,115
